year_id,Studio_name,Studio_Gross,Total_Yearly_Gross,Percentage,pop_size
1990,BV,683431384,4201762579,0.162,341715692
1990,Fox,668375058,4201762579,0.159,334187529
1990,Gold.,14560247,4201762579,0.003,7280123.5
1990,MGM,61264584,4201762579,0.014,30632292
1990,Mira.,25437170,4201762579,0.006,12718585
1990,NL,173193300,4201762579,0.041,86596650
1990,Orion,361466795,4201762579,0.086,180733397.5
1990,Par.,648684055,4201762579,0.154,324342027.5
1990,Sony,391166363,4201762579,0.093,195583181.5
1990,TriS,164690048,4201762579,0.039,82345024
1990,Triu,55675288,4201762579,0.013,27837644
1990,UA,40946358,4201762579,0.009,20473179
1990,Uni.,501300428,4201762579,0.119,250650214
1990,WB,411571501,4201762579,0.097,205785750.5
1991,BV,639516948,4013340886,0.159,319758474
1991,Fox,371086735,4013340886,0.092,185543367.5
1991,Istr,15556340,4013340886,0.003,7778170
1991,MGM,71661059,4013340886,0.017,35830529.5
1991,Mira.,25451439,4013340886,0.006,12725719.5
1991,NL,146845818,4013340886,0.036,73422909
1991,Orion,214873496,4013340886,0.053,107436748
1991,Par.,514002708,4013340886,0.128,257001354
1991,Sony,373854819,4013340886,0.093,186927409.5
1991,TriS,511078671,4013340886,0.127,255539335.5
1991,Uni.,526778618,4013340886,0.131,263389309
1991,WB,602634235,4013340886,0.15,301317117.5
1992,BV,853296658,4338501242,0.196,426648329
1992,Fox,653671054,4338501242,0.15,326835527
1992,Gold.,11657385,4338501242,0.002,5828692.5
1992,MGM,33775364,4338501242,0.007,16887682
1992,Mira.,88284078,4338501242,0.02,44142039
1992,NL,81171944,4338501242,0.018,40585972
1992,Par.,410289272,4338501242,0.094,205144636
1992,SPC,25966555,4338501242,0.005,12983277.5
1992,Sony,570897358,4338501242,0.131,285448679
1992,TriS,237212989,4338501242,0.054,118606494.5
1992,Uni.,483123184,4338501242,0.111,241561592
1992,WB,889155401,4338501242,0.204,444577700.5
1993,BV,724064873,4493750447,0.161,362032436.5
1993,Fox,546449157,4493750447,0.121,273224578.5
1993,Gold.,22549338,4493750447,0.005,11274669
1993,Gram.,18289763,4493750447,0.004,9144881.5
1993,MGM,67758641,4493750447,0.015,33879320.5
1993,Mira.,73561346,4493750447,0.016,36780673
1993,NL,127074784,4493750447,0.028,63537392
1993,Par.,439539543,4493750447,0.097,219769771.5
1993,Sav.,43130275,4493750447,0.009,21565137.5
1993,Sony,460575760,4493750447,0.102,230287880
1993,TriS,354248925,4493750447,0.078,177124462.5
1993,Triu,17180393,4493750447,0.003,8590196.5
1993,Uni.,715285071,4493750447,0.159,357642535.5
1993,WB,884042578,4493750447,0.196,442021289
1994,BV,898300130,4609740780,0.194,449150065
1994,Fox,382498552,4609740780,0.082,191249276
1994,Gold.,15238689,4609740780,0.003,7619344.5
1994,Gram.,73552353,4609740780,0.015,36776176.5
1994,MGM,141260817,4609740780,0.03,70630408.5
1994,Mira.,193016956,4609740780,0.041,96508478
1994,NL,373614884,4609740780,0.081,186807442
1994,Par.,795294472,4609740780,0.172,397647236
1994,Sav.,32160303,4609740780,0.006,16080151.5
1994,Sony,324823838,4609740780,0.07,162411919
1994,TriS,111671442,4609740780,0.024,55835721
1994,Uni.,516467514,4609740780,0.112,258233757
1994,WB,751840830,4609740780,0.163,375920415
1995,BV,1054502589,4793838006,0.219,527251294.5
1995,Dim.,31232512,4793838006,0.006,15616256
1995,Fox,378784037,4793838006,0.079,189392018.5
1995,Gram.,76645586,4793838006,0.015,38322793
1995,MGM,322583259,4793838006,0.067,161291629.5
1995,Mira.,36968571,4793838006,0.007,18484285.5
1995,NL,247310085,4793838006,0.051,123655042.5
1995,Par.,443166444,4793838006,0.092,221583222
1995,SPC,31070275,4793838006,0.006,15535137.5
1995,Sav.,23389975,4793838006,0.004,11694987.5
1995,Sony,606692033,4793838006,0.126,303346016.5
1995,Uni.,680472784,4793838006,0.141,340236392
1995,WB,861019856,4793838006,0.179,430509928
1996,BV,1063036179,5045235024,0.21,531518089.5
1996,Dim.,103046663,5045235024,0.02,51523331.5
1996,FL,35892330,5045235024,0.007,17946165
1996,Fox,696796690,5045235024,0.138,348398345
1996,Gram.,24611975,5045235024,0.004,12305987.5
1996,MGM,166277218,5045235024,0.032,83138609
1996,Mira.,221976902,5045235024,0.043,110988451
1996,NL,312291967,5045235024,0.061,156145983.5
1996,Par.,720920678,5045235024,0.142,360460339
1996,Sony,513588658,5045235024,0.101,256794329
1996,Uni.,383319492,5045235024,0.075,191659746
1996,WB,803476272,5045235024,0.159,401738136
1997,BV,806975114,6113944155,0.131,403487557
1997,DW,147409970,6113944155,0.024,73704985
1997,Dim.,101363301,6113944155,0.016,50681650.5
1997,Fox,664296538,6113944155,0.108,332148269
1997,Gram.,45319423,6113944155,0.007,22659711.5
1997,Live,15738769,6113944155,0.002,7869384.5
1997,MGM,171262652,6113944155,0.028,85631326
1997,Mira.,248449274,6113944155,0.04,124224637
1997,NL,270385637,6113944155,0.044,135192818.5
1997,Oct.,19868354,6113944155,0.003,9934177
1997,Par.,1120461995,6113944155,0.183,560230997.5
1997,Poly,48323648,6113944155,0.007,24161824
1997,SPC,18798590,6113944155,0.003,9399295
1997,Sony,1210167770,6113944155,0.197,605083885
1997,Trim.,14842388,6113944155,0.002,7421194
1997,Uni.,580772505,6113944155,0.094,290386252.5
1997,WB,629508227,6113944155,0.102,314754113.5
1998,BV,1181080149,5871484332,0.201,590540074.5
1998,DW,490269775,5871484332,0.083,245134887.5
1998,Dim.,55041738,5871484332,0.009,27520869
1998,Fox,752281607,5871484332,0.128,376140803.5
1998,Gram.,47534572,5871484332,0.008,23767286
1998,Imax,93948229,5871484332,0.016,46974114.5
1998,MFF,87178599,5871484332,0.014,43589299.5
1998,MGM,135322083,5871484332,0.023,67661041.5
1998,Mira.,237518071,5871484332,0.04,118759035.5
1998,NL,424270296,5871484332,0.072,212135148
1998,Par.,606197958,5871484332,0.103,303098979
1998,Poly,78002516,5871484332,0.013,39001258
1998,Sony,597129091,5871484332,0.101,298564545.5
1998,Uni.,402010746,5871484332,0.068,201005373
1998,WB,683698902,5871484332,0.116,341849451
1999,Art.,161682013,6632147722,0.024,80841006.5
1999,BV,1169074149,6632147722,0.176,584537074.5
1999,DW,345979848,6632147722,0.052,172989924
1999,Fox,734919111,6632147722,0.11,367459555.5
1999,Imax,18607627,6632147722,0.002,9303813.5
1999,Lions,30652890,6632147722,0.004,15326445
1999,MGM,286422971,6632147722,0.043,143211485.5
1999,Mira.,154314449,6632147722,0.023,77157224.5
1999,NL,291931908,6632147722,0.044,145965954
1999,Par.,856472049,6632147722,0.129,428236024.5
1999,Sony,593016980,6632147722,0.089,296508490
1999,USA,22863596,6632147722,0.003,11431798
1999,Uni.,918572095,6632147722,0.138,459286047.5
1999,WB,1047638036,6632147722,0.157,523819018
2000,Art.,26437094,6950983104,0.003,13218547
2000,BV,1122939576,6950983104,0.161,561469788
2000,DW,632862879,6950983104,0.091,316431439.5
2000,Dim.,110942827,6950983104,0.015,55471413.5
2000,Focus,21995263,6950983104,0.003,10997631.5
2000,Fox,828809288,6950983104,0.119,414404644
2000,MGM,70484713,6950983104,0.01,35242356.5
2000,Mira.,341795192,6950983104,0.049,170897596
2000,NL,318520566,6950983104,0.045,159260283
2000,Par.,753376788,6950983104,0.108,376688394
2000,SGem,30328156,6950983104,0.004,15164078
2000,SPC,128078872,6950983104,0.018,64039436
2000,Sony,562187605,6950983104,0.08,281093802.5
2000,USA,188526438,6950983104,0.027,94263219
2000,Uni.,1021755515,6950983104,0.146,510877757.5
2000,WB,791942332,6950983104,0.113,395971166
2001,BV,789603270,7339639621,0.107,394801635
2001,DW,372855538,7339639621,0.05,186427769
2001,Fox,732262823,7339639621,0.099,366131411.5
2001,Lions,31273922,7339639621,0.004,15636961
2001,MGM,375794524,7339639621,0.051,187897262
2001,Mira.,548751538,7339639621,0.074,274375769
2001,NL,657234579,7339639621,0.089,328617289.5
2001,NM,25544867,7339639621,0.003,12772433.5
2001,Par.,877448608,7339639621,0.119,438724304
2001,SGem,49693310,7339639621,0.006,24846655
2001,SonR,303895226,7339639621,0.041,151947613
2001,Sony,331545560,7339639621,0.045,165772780
2001,UA,37904175,7339639621,0.005,18952087.5
2001,USA,41308615,7339639621,0.005,20654307.5
2001,Uni.,1040068841,7339639621,0.141,520034420.5
2001,WB,1124454225,7339639621,0.153,562227112.5
2002,Art.,25581229,8104377623,0.003,12790614.5
2002,BV,1071625379,8104377623,0.132,535812689.5
2002,DW,578858855,8104377623,0.071,289429427.5
2002,Dim.,116200871,8104377623,0.014,58100435.5
2002,Focus,32572577,8104377623,0.004,16286288.5
2002,Fox,955933089,8104377623,0.117,477966544.5
2002,IFC,241438208,8104377623,0.029,120719104
2002,Imax,93337471,8104377623,0.011,46668735.5
2002,MGM,306080886,8104377623,0.037,153040443
2002,Mira.,312335340,8104377623,0.038,156167670
2002,NL,831389106,8104377623,0.102,415694553
2002,Par.,603568958,8104377623,0.074,301784479
2002,SGem,75866079,8104377623,0.009,37933039.5
2002,SonR,306269553,8104377623,0.037,153134776.5
2002,Sony,980059813,8104377623,0.12,490029906.5
2002,Uni.,657465374,8104377623,0.081,328732687
2002,WB,915794835,8104377623,0.113,457897417.5
2003,BV,1453564806,8108321662,0.179,726782403
2003,DW,140193792,8108321662,0.017,70096896
2003,Dim.,281825527,8108321662,0.034,140912763.5
2003,Focus,44585453,8108321662,0.005,22292726.5
2003,Fox,880078987,8108321662,0.108,440039493.5
2003,MGM,254063743,8108321662,0.031,127031871.5
2003,Mira.,165735554,8108321662,0.02,82867777
2003,NL,855664869,8108321662,0.105,427832434.5
2003,NM,34469210,8108321662,0.004,17234605
2003,Par.,547738108,8108321662,0.067,273869054
2003,SGem,51970690,8108321662,0.006,25985345
2003,SonR,490375707,8108321662,0.06,245187853.5
2003,Sony,719605449,8108321662,0.088,359802724.5
2003,UA,35667218,8108321662,0.004,17833609
2003,Uni.,1077757154,8108321662,0.132,538878577
2003,WB,1075025395,8108321662,0.132,537512697.5
2004,BV,1106599253,8323920849,0.132,553299626.5
2004,DW,866255044,8323920849,0.104,433127522
2004,Focus,34400301,8323920849,0.004,17200150.5
2004,Fox,938190369,8323920849,0.112,469095184.5
2004,Lions,238800868,8323920849,0.028,119400434
2004,MGM,135179153,8323920849,0.016,67589576.5
2004,Mira.,380286149,8323920849,0.045,190143074.5
2004,NL,251687239,8323920849,0.03,125843619.5
2004,NM,370274604,8323920849,0.044,185137302
2004,Par.,597644137,8323920849,0.071,298822068.5
2004,SGem,123804186,8323920849,0.014,61902093
2004,SonR,257769753,8323920849,0.03,128884876.5
2004,Sony,800422547,8323920849,0.096,400211273.5
2004,UA,23530892,8323920849,0.002,11765446
2004,Uni.,1003179713,8323920849,0.12,501589856.5
2004,WB,1195896641,8323920849,0.143,597948320.5
2005,BV,810947836,7697562088,0.105,405473918
2005,DW,500717606,7697562088,0.065,250358803
2005,Dim.,151197771,7697562088,0.019,75598885.5
2005,Focus,155028646,7697562088,0.02,77514323
2005,Fox,1396278523,7697562088,0.181,698139261.5
2005,Imax,34137524,7697562088,0.004,17068762
2005,Lions,192253364,7697562088,0.024,96126682
2005,MGM,157631698,7697562088,0.02,78815849
2005,Mira.,34639939,7697562088,0.004,17319969.5
2005,NL,356311526,7697562088,0.046,178155763
2005,Par.,772822323,7697562088,0.1,386411161.5
2005,SGem,121824836,7697562088,0.015,60912418
2005,SPC,28750530,7697562088,0.003,14375265
2005,SonR,168176746,7697562088,0.021,84088373
2005,Sony,587387485,7697562088,0.076,293693742.5
2005,Uni.,814540286,7697562088,0.105,407270143
2005,WB,1218509536,7697562088,0.158,609254768
2005,WIP,108995226,7697562088,0.014,54497613
2005,Wein.,87410687,7697562088,0.011,43705343.5
