Studio,Year,Genre1,Total Gross,RottenTomato
BV,1990,Action,103738726.0,65.0
BV,1990,Comedy,231614448.0,76.5
BV,1991,Action,46704056.0,62.0
BV,1991,Adventure,34793160.0,63.0
BV,1991,Animation,145863363.0,94.0
BV,1991,Thriller,28738096.0,41.0
BV,1992,Action,29000301.0,32.0
BV,1992,Adventure,22518097.0,24.0
BV,1992,Animation,217350219.0,94.0
BV,1992,Comedy,217638994.0,55.0
BV,1992,Crime,12282994.0,23.0
BV,1992,Drama,88036683.0,64.0
BV,1993,Action,99746126.0,40.75
BV,1993,Adventure,205333307.0,59.166666666666664
BV,1993,Comedy,142132367.0,27.5
BV,1993,Crime,22866222.0,40.0
BV,1993,Drama,32901136.0,85.0
BV,1994,Action,76685961.0,12.333333333333334
BV,1994,Adventure,21006361.0,70.5
BV,1994,Animation,312855561.0,93.0
BV,1994,Biography,24822619.0,96.0
BV,1994,Comedy,274235326.0,25.142857142857142
BV,1994,Mystery,19726050.0,22.0
BV,1995,Action,116057541.0,59.0
BV,1995,Adventure,23920048.0,25.0
BV,1995,Animation,368724603.0,70.0
BV,1995,Biography,98601166.0,52.0
BV,1995,Comedy,175387742.0,42.666666666666664
BV,1996,Action,191351999.0,52.0
BV,1996,Adventure,0.0,37.0
BV,1996,Animation,129084978.0,83.0
BV,1996,Biography,50047179.0,65.0
BV,1996,Comedy,48102795.0,60.0
BV,1996,Drama,104636382.0,50.0
BV,1997,Action,252766797.0,51.25
BV,1997,Adventure,21437192.0,7.0
BV,1997,Animation,99112101.0,83.0
BV,1997,Comedy,152904844.0,21.5
BV,1998,Action,363760055.0,49.5
BV,1998,Adventure,66308518.0,86.0
BV,1998,Animation,283418819.0,89.0
BV,1998,Comedy,18253415.0,44.0
BV,1998,Drama,96951416.0,77.0
BV,1999,Action,130102011.0,27.0
BV,1999,Animation,416943998.0,94.0
BV,1999,Biography,29089912.0,96.0
BV,1999,Comedy,161059755.0,34.75
BV,1999,Drama,327611499.0,56.0
BV,2000,Action,56937502.0,79.0
BV,2000,Adventure,112469614.0,54.0
BV,2000,Animation,272605283.0,70.66666666666667
BV,2000,Biography,115654751.0,73.0
BV,2000,Comedy,88073406.0,57.0
BV,2001,Action,29831583.0,12.0
BV,2001,Animation,376635863.0,68.66666666666667
