year_id,Studio_name,Studio_Gross,Total_Yearly_Gross,Percentage,pop_size
1990,BV,683431384,4201762579,0.162,4881652.743
1990,Fox,668375058,4201762579,0.159,4774107.557
1990,Par.,648684055,4201762579,0.154,4633457.536
1990,Sony,391166363,4201762579,0.093,2794045.45
1990,Uni.,501300428,4201762579,0.119,3580717.343
1990,WB,411571501,4201762579,0.097,2939796.436
1991,BV,639516948,4013340886,0.159,4567978.2
1991,Fox,371086735,4013340886,0.092,2650619.536
1991,Par.,514002708,4013340886,0.128,3671447.914
1991,Sony,373854819,4013340886,0.093,2670391.564
1991,Uni.,526778618,4013340886,0.131,3762704.414
1991,WB,602634235,4013340886,0.15,4304530.25
1992,BV,853296658,4338501242,0.196,6094976.129
1992,Fox,653671054,4338501242,0.15,4669078.957
1992,Par.,410289272,4338501242,0.094,2930637.657
1992,Sony,570897358,4338501242,0.131,4077838.271
1992,Uni.,483123184,4338501242,0.111,3450879.886
1992,WB,889155401,4338501242,0.204,6351110.007
1993,BV,724064873,4493750447,0.161,5171891.95
1993,Fox,546449157,4493750447,0.121,3903208.264
1993,Par.,439539543,4493750447,0.097,3139568.164
1993,Sony,460575760,4493750447,0.102,3289826.857
1993,Uni.,715285071,4493750447,0.159,5109179.079
1993,WB,884042578,4493750447,0.196,6314589.843
1994,BV,898300130,4609740780,0.194,6416429.5
1994,Fox,382498552,4609740780,0.082,2732132.514
1994,Par.,795294472,4609740780,0.172,5680674.8
1994,Sony,324823838,4609740780,0.07,2320170.271
1994,Uni.,516467514,4609740780,0.112,3689053.671
1994,WB,751840830,4609740780,0.163,5370291.643
1995,BV,1054502589,4793838006,0.219,7532161.35
1995,Fox,378784037,4793838006,0.079,2705600.264
1995,Par.,443166444,4793838006,0.092,3165474.6
1995,Sony,606692033,4793838006,0.126,4333514.521
1995,Uni.,680472784,4793838006,0.141,4860519.886
1995,WB,861019856,4793838006,0.179,6150141.829
1996,BV,1063036179,5045235024,0.21,7593115.564
1996,Fox,696796690,5045235024,0.138,4977119.214
1996,Par.,720920678,5045235024,0.142,5149433.414
1996,Sony,513588658,5045235024,0.101,3668490.414
1996,Uni.,383319492,5045235024,0.075,2737996.371
1996,WB,803476272,5045235024,0.159,5739116.229
1997,BV,806975114,6113944155,0.131,5764107.957
1997,Fox,664296538,6113944155,0.108,4744975.271
1997,Par.,1120461995,6113944155,0.183,8003299.964
1997,Sony,1210167770,6113944155,0.197,8644055.5
1997,Uni.,580772505,6113944155,0.094,4148375.036
1997,WB,629508227,6113944155,0.102,4496487.336
1998,BV,1181080149,5871484332,0.201,8436286.779
1998,Fox,752281607,5871484332,0.128,5373440.05
1998,Par.,606197958,5871484332,0.103,4329985.414
1998,Sony,597129091,5871484332,0.101,4265207.793
1998,Uni.,402010746,5871484332,0.068,2871505.329
1998,WB,683698902,5871484332,0.116,4883563.586
1999,BV,1169074149,6632147722,0.176,8350529.636
1999,Fox,734919111,6632147722,0.11,5249422.221
1999,Par.,856472049,6632147722,0.129,6117657.493
1999,Sony,593016980,6632147722,0.089,4235835.571
1999,Uni.,918572095,6632147722,0.138,6561229.25
1999,WB,1047638036,6632147722,0.157,7483128.829
2000,BV,1122939576,6950983104,0.161,8020996.971
2000,Fox,828809288,6950983104,0.119,5920066.343
2000,Par.,753376788,6950983104,0.108,5381262.771
2000,Sony,562187605,6950983104,0.08,4015625.75
2000,Uni.,1021755515,6950983104,0.146,7298253.679
2000,WB,791942332,6950983104,0.113,5656730.943
2001,BV,789603270,7339639621,0.107,5640023.357
2001,Fox,732262823,7339639621,0.099,5230448.736
2001,Par.,877448608,7339639621,0.119,6267490.057
2001,Sony,331545560,7339639621,0.045,2368182.571
2001,Uni.,1040068841,7339639621,0.141,7429063.15
2001,WB,1124454225,7339639621,0.153,8031815.893
2002,BV,1071625379,8104377623,0.132,7654466.993
2002,Fox,955933089,8104377623,0.117,6828093.493
2002,Par.,603568958,8104377623,0.074,4311206.843
2002,Sony,980059813,8104377623,0.12,7000427.236
2002,Uni.,657465374,8104377623,0.081,4696181.243
2002,WB,915794835,8104377623,0.113,6541391.679
2003,BV,1453564806,8108321662,0.179,10382605.76
2003,Fox,880078987,8108321662,0.108,6286278.479
2003,Par.,547738108,8108321662,0.067,3912415.057
2003,Sony,719605449,8108321662,0.088,5140038.921
2003,Uni.,1077757154,8108321662,0.132,7698265.386
2003,WB,1075025395,8108321662,0.132,7678752.821
2004,BV,1106599253,8323920849,0.132,7904280.379
2004,Fox,938190369,8323920849,0.112,6701359.779
2004,Par.,597644137,8323920849,0.071,4268886.693
2004,Sony,800422547,8323920849,0.096,5717303.907
2004,Uni.,1003179713,8323920849,0.12,7165569.379
2004,WB,1195896641,8323920849,0.143,8542118.864
2005,BV,810947836,7697562088,0.105,5792484.543
2005,Fox,1396278523,7697562088,0.181,9973418.021
2005,Par.,772822323,7697562088,0.1,5520159.45
2005,Sony,587387485,7697562088,0.076,4195624.893
2005,Uni.,814540286,7697562088,0.105,5818144.9
2005,WB,1218509536,7697562088,0.158,8703639.543
2006,BV,1320808492,7888450064,0.167,9434346.371
2006,Fox,1424637398,7888450064,0.18,10175981.41
2006,Par.,640024063,7888450064,0.081,4571600.45
2006,Sony,1237925797,7888450064,0.156,8842327.121
2006,Uni.,714954198,7888450064,0.09,5106815.7
2006,WB,1017337818,7888450064,0.128,7266698.7
2007,BV,1394057389,8509652684,0.163,9957552.779
2007,Fox,992332992,8509652684,0.116,7088092.8
2007,Par.,237604785,8509652684,0.027,1697177.036
2007,Sony,748648598,8509652684,0.087,5347489.986
2007,Uni.,986119516,8509652684,0.115,7043710.829
2007,WB,1455196564,8509652684,0.171,10394261.17
2008,BV,943569015,8522863503,0.11,6739778.679
2008,Fox,1095186800,8522863503,0.128,7822762.857
2008,Par.,979363929,8522863503,0.114,6995456.636
2008,Sony,1033258622,8522863503,0.121,7380418.729
2008,Uni.,1011869834,8522863503,0.118,7227641.671
2008,WB,1691515091,8522863503,0.198,12082250.65
2009,BV,1160465714,9863633732,0.117,8289040.814
2009,Fox,1869360098,9863633732,0.189,13352572.13
2009,Par.,625335863,9863633732,0.063,4466684.736
2009,Sony,1117903124,9863633732,0.113,7985022.314
2009,Uni.,856057220,9863633732,0.086,6114694.429
2009,WB,1998239653,9863633732,0.202,14273140.38
2010,BV,1473736551,9317906300,0.158,10526689.65
2010,Fox,1034576800,9317906300,0.111,7389834.286
2010,Par.,1102083657,9317906300,0.118,7872026.121
2010,Sony,918565859,9317906300,0.098,6561184.707
2010,Uni.,788529355,9317906300,0.084,5632352.536
2010,WB,1734296695,9317906300,0.186,12387833.54
2011,BV,1105527042,9057688864,0.122,7896621.729
2011,Fox,1043617290,9057688864,0.115,7454409.214
2011,Par.,1268528835,9057688864,0.14,9060920.25
2011,Sony,985386806,9057688864,0.108,7038477.186
2011,Uni.,886390426,9057688864,0.097,6331360.186
2011,WB,1842044749,9057688864,0.203,13157462.49
2012,BV,1544257142,10034865654,0.153,11030408.16
2012,Fox,1055207324,10034865654,0.105,7537195.171
2012,Par.,435673941,10034865654,0.043,3111956.721
2012,Sony,1415353740,10034865654,0.141,10109669.57
2012,Uni.,1374290782,10034865654,0.136,9816362.729
2012,WB,1575457875,10034865654,0.156,11253270.54
2013,BV,1813075245,10059687522,0.18,12950537.46
2013,Fox,1001420743,10059687522,0.099,7153005.307
2013,Par.,1003312279,10059687522,0.099,7166516.279
2013,Sony,816794621,10059687522,0.081,5834247.293
2013,Uni.,1452825830,10059687522,0.144,10377327.36
2013,WB,1792729267,10059687522,0.178,12805209.05
2014,BV,1496462883,9585005031,0.156,10689020.59
2014,Fox,1935370210,9585005031,0.201,13824072.93
2014,Par.,967350189,9585005031,0.1,6909644.207
2014,Sony,843015276,9585005031,0.087,6021537.686
2014,Uni.,985022870,9585005031,0.102,7035877.643
2014,WB,1808572731,9585005031,0.188,12918376.65
2015,BV,2466802926,10321355959,0.238,17620020.9
2015,Fox,1538884302,10321355959,0.149,10992030.73
2015,Par.,690762613,10321355959,0.066,4934018.664
2015,Sony,729867103,10321355959,0.07,5213336.45
2015,Uni.,2382128030,10321355959,0.23,17015200.21
2015,WB,1166657083,10321355959,0.113,8333264.879
2016,BV,2849553429,10381917742,0.274,20353953.06
2016,Fox,1400787703,10381917742,0.134,10005626.45
2016,Par.,760270775,10381917742,0.073,5430505.536
2016,Sony,688257417,10381917742,0.066,4916124.407
2016,Uni.,1476875973,10381917742,0.142,10549114.09
2016,WB,1864760900,10381917742,0.179,13319720.71
2017,BV,2364252943,10270776924,0.23,16887521.02
2017,Fox,1459132547,10270776924,0.142,10422375.34
2017,Par.,463333220,10270776924,0.045,3309523
2017,Sony,1013720229,10270776924,0.098,7240858.779
2017,Uni.,1436918270,10270776924,0.139,10263701.93
2017,WB,1964132536,10270776924,0.191,14029518.11
