Studio,Year,Total Gross,box_office
BV,1990,335353174.0,335353174
BV,1991,256098675.0,256098675
BV,1992,586827288.0,586827288
BV,1993,502979158.0,502979158
BV,1994,729331878.0,729331878
BV,1995,782691100.0,782691100
BV,1996,523223333.0,523223333
BV,1997,526220934.0,526220934
BV,1998,828692223.0,828692223
BV,1999,1064807175.0,1064807175
BV,2000,645740556.0,645740556
BV,2001,591060716.0,591060716
BV,2002,913313708.0,913313708
BV,2003,1207569117.0,1207569117
BV,2004,791806690.0,791806690
BV,2005,655216721.0,655216721
BV,2006,1278161043.0,1278161043
BV,2007,1394057389.0,1394057389
BV,2008,627152726.0,627152726
BV,2009,841741868.0,841741868
BV,2010,1395781476.0,1395781476
BV,2011,686487340.0,686487340
BV,2012,586894776.0,586894776
BV,2013,1755772650.0,1755772650
BV,2014,1012046259.0,1012046259
BV,2015,2008030979.0,2008030979
BV,2016,2842204933.0,2842204933
BV,2017,2361495843.0,2361495843
Fox,1990,554722630.0,554722630
Fox,1991,349255778.0,349255778
Fox,1992,573547213.0,573547213
Fox,1993,546449157.0,546449157
Fox,1994,346952898.0,346952898
Fox,1995,240584107.0,240584107
Fox,1996,566995486.0,566995486
Fox,1997,365174884.0,365174884
Fox,1998,668383294.0,668383294
Fox,1999,718847121.0,718847121
Fox,2000,700351309.0,700351309
Fox,2001,502136370.0,502136370
Fox,2002,722154120.0,722154120
Fox,2003,450994814.0,450994814
Fox,2004,523410790.0,523410790
Fox,2005,1198486587.0,1198486587
Fox,2006,1266573105.0,1266573105
Fox,2007,750287578.0,750287578
Fox,2008,639438431.0,639438431
Fox,2009,1726797833.0,1726797833
Fox,2010,972396529.0,972396529
Fox,2011,1032020712.0,1032020712
Fox,2012,935648801.0,935648801
Fox,2013,873133857.0,873133857
Fox,2014,1130965859.0,1130965859
Fox,2015,666074854.0,666074854
Fox,2016,1049193222.0,1049193222
Fox,2017,1222957706.0,1222957706
Paramount,1990,484874446.0,484874446
Paramount,1991,404298762.0,404298762
Paramount,1992,414382071.0,414382071
Paramount,1993,439539543.0,439539543
Paramount,1994,744161874.0,744161874
Paramount,1995,333359572.0,333359572
Paramount,1996,634105042.0,634105042
Paramount,1997,969457498.0,969457498
Paramount,1998,778011576.0,778011576
Paramount,1999,804434446.0,804434446
Paramount,2000,537966899.0,537966899
Paramount,2001,786391602.0,786391602
Paramount,2002,521784267.0,521784267
Paramount,2003,547738108.0,547738108
Paramount,2004,580015291.0,580015291
Paramount,2005,586172394.0,586172394
Paramount,2006,510590349.0,510590349
Paramount,2007,559840381.0,559840381
