Year,Studio,Total Gross
1990,BV,683431384
1990,Col.,271771523
1990,Fox,668375058
1990,Gold.,14560247
1990,MGM,61264584
1990,Mira.,25437170
1990,NL,173193300
1990,Orion,361466795
1990,Par.,648684055
1990,Sony,119394840
1990,TriS,164690048
1990,Triu,55675288
1990,UA,40946358
1990,Uni.,501300428
1990,WB,411571501
1991,BV,639516948
1991,Col.,373854819
1991,Fox,371086735
1991,Istr,15556340
1991,MGM,71661059
1991,Mira.,25451439
1991,NL,146845818
1991,Orion,214873496
1991,Par.,514002708
1991,TriS,511078671
1991,Uni.,526778618
1991,WB,602634235
1992,BV,853296658
1992,Col.,463363430
1992,Fox,653671054
1992,Gold.,11657385
1992,MGM,33775364
1992,Mira.,88284078
1992,NL,81171944
1992,Par.,410289272
1992,SPC,25966555
1992,Sony,107533928
1992,TriS,237212989
1992,Uni.,483123184
1992,WB,889155401
1993,BV,724064873
1993,Col.,460575760
1993,Fox,546449157
1993,Gold.,22549338
1993,Gram.,18289763
1993,MGM,67758641
1993,Mira.,73561346
1993,NL,127074784
1993,Par.,439539543
1993,Sav.,43130275
1993,TriS,354248925
1993,Triu,17180393
1993,Uni.,715285071
1993,WB,884042578
1994,BV,898300130
1994,Col.,166593805
1994,Fox,382498552
1994,Gold.,15238689
1994,Gram.,73552353
1994,MGM,141260817
1994,Mira.,193016956
1994,NL,373614884
1994,Par.,795294472
1994,Sav.,32160303
1994,Sony,158230033
1994,TriS,111671442
1994,Uni.,516467514
1994,WB,751840830
1995,BV,1054502589
1995,Dim.,31232512
1995,Fox,378784037
1995,Gram.,76645586
1995,MGM,322583259
1995,Mira.,36968571
1995,NL,247310085
1995,Par.,443166444
1995,SPC,31070275
1995,Sav.,23389975
1995,Sony,606692033
1995,Uni.,680472784
1995,WB,861019856
1996,BV,1063036179
1996,Dim.,103046663
1996,FL,35892330
1996,Fox,696796690
1996,Gram.,24611975
1996,MGM,166277218
1996,Mira.,221976902
1996,NL,312291967
1996,Par.,720920678
1996,Sony,513588658
1996,Uni.,383319492
1996,WB,803476272
1997,BV,806975114
1997,DW,147409970
1997,Dim.,101363301
1997,Fox,618346416
1997,FoxS,45950122
1997,Gram.,45319423
1997,Live,15738769
1997,MGM,171262652
1997,Mira.,248449274
1997,NL,270385637
1997,Oct.,19868354
1997,Par.,1120461995
1997,Poly,48323648
1997,SPC,18798590
1997,Sony,1210167770
1997,Trim.,14842388
1997,Uni.,580772505
1997,WB,629508227
1998,BV,1181080149
1998,DW,490269775
1998,Dim.,55041738
1998,Fox,727489356
1998,FoxS,24792251
1998,Gram.,47534572
