,Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link
0,1,Home Alone,Fox,"$285,761,243","2,173","$17,081,997","1,202",1990,/movies/?id=homealone.htm
0,2,Ghost,Par.,"$217,631,306","1,766","$12,191,540","1,101",1990,/movies/?id=ghost.htm
0,3,Dances with Wolves,Orion,"$184,208,848","1,636","$598,257",14,1990,/movies/?id=danceswithwolves.htm
0,4,Pretty Woman,BV,"$178,406,268","1,811","$11,280,591","1,325",1990,/movies/?id=prettywoman.htm
0,5,Teenage Mutant Ninja Turtles,NL,"$135,265,915","2,377","$25,398,367","2,006",1990,/movies/?id=teenagemutantninjaturtles.htm
0,6,The Hunt for Red October,Par.,"$122,012,643","1,817","$17,161,835","1,225",1990,/movies/?id=huntforredoctober.htm
0,7,Total Recall,Sony,"$119,394,840","2,131","$25,533,700","2,060",1990,/movies/?id=totalrecall.htm
0,8,Die Hard 2: Die Harder,Fox,"$117,540,947","2,507","$21,744,661","2,507",1990,/movies/?id=diehard2.htm
0,9,Dick Tracy,BV,"$103,738,726","2,332","$22,543,911","2,332",1990,/movies/?id=dicktracy.htm
0,10,Kindergarten Cop,Uni.,"$91,457,688","1,937","$7,918,560","1,833",1990,/movies/?id=kindergartencop.htm
0,11,Back to the Future Part III,Uni.,"$87,727,583","2,070","$19,089,645","2,019",1990,/movies/?id=backtothefuture3.htm
0,12,Presumed Innocent,WB,"$86,303,188","1,451","$11,718,981","1,349",1990,/movies/?id=presumedinnocent.htm
0,13,Days of Thunder,Par.,"$82,670,733","2,307","$15,490,445","2,307",1990,/movies/?id=daysofthunder.htm
0,14,Another 48 HRS.,Par.,"$80,818,974","2,721","$19,475,559","2,721",1990,/movies/?id=another48hrs.htm
0,15,Three Men and a Little Lady,BV,"$71,609,321","1,614","$13,774,642","1,281",1990,/movies/?id=threemenandalittlelady.htm
0,16,Bird on a Wire,Uni.,"$70,978,012","2,008","$15,338,160","1,944",1990,/movies/?id=birdonawire.htm
0,17,The Godfather Part III,Par.,"$66,666,062","1,922","$19,558,558","1,901",1990,/movies/?id=godfather3.htm
0,18,Flatliners,Col.,"$61,489,265","1,483","$10,034,685","1,319",1990,/movies/?id=flatliners.htm
0,19,Misery,Col.,"$61,276,872","1,370","$10,076,834","1,244",1990,/movies/?id=misery.htm
0,20,Edward Scissorhands,Fox,"$56,362,352","1,372","$159,622",2,1990,/movies/?id=edwardscissorhands.htm
0,21,Problem Child,Uni.,"$53,470,891","1,769","$10,026,900","1,714",1990,/movies/?id=problemchild.htm
0,22,Arachnophobia,BV,"$53,208,180","2,005","$8,045,760","1,479",1990,/movies/?id=arachnophobia.htm
0,23,Awakenings,Col.,"$52,096,475","1,330","$417,076",12,1990,/movies/?id=awakenings.htm
0,24,Look Who's Talking Too,TriS,"$47,789,074","1,647","$8,100,640","1,576",1990,/movies/?id=lookwhostalkingtoo.htm
0,25,Hard to Kill,WB,"$47,410,827","1,508","$9,213,631","1,301",1990,/movies/?id=hardtokill.htm
0,26,Goodfellas,WB,"$46,836,214","1,328","$6,368,901","1,070",1990,/movies/?id=goodfellas.htm
0,27,Marked for Death,Fox,"$46,044,396","1,974","$11,790,047","1,968",1990,/movies/?id=markedfordeath.htm
0,28,Robocop 2,Orion,"$45,681,173","1,806","$14,145,411","1,768",1990,/movies/?id=robocop2.htm
0,29,The Jungle Book (re-issue) (1990),BV,"$44,645,619","1,923","$7,708,029","1,901",1990,/movies/?id=junglebook90.htm
0,30,Young Guns II,Fox,"$44,143,410","1,770","$8,017,438","1,770",1990,/movies/?id=youngguns2.htm
0,31,Gremlins 2: The New Batch,WB,"$41,482,207","2,155","$9,702,804","2,075",1990,/movies/?id=gremlins2.htm
0,32,Rocky V,UA,"$40,946,358","2,106","$14,073,170","2,053",1990,/movies/?id=rocky5.htm
0,33,Joe Versus the Volcano,WB,"$39,404,261","1,802","$9,252,232","1,802",1990,/movies/?id=joeversusthevolcano.htm
0,34,Postcards from the Edge,Col.,"$39,071,603","1,323","$7,871,856","1,013",1990,/movies/?id=postcardsfromtheedge.htm
0,35,Mermaids,Orion,"$35,419,397","1,154","$3,514,678",920,1990,/movies/?id=mermaids.htm
0,36,Darkman,Uni.,"$33,878,502","1,833","$8,054,860","1,786",1990,/movies/?id=darkman.htm
0,37,Air America,TriS,"$31,053,601","1,902","$8,064,480","1,902",1990,/movies/?id=airamerica.htm
0,38,Predator 2,Fox,"$30,669,413","1,978","$8,784,943","1,950",1990,/movies/?id=predator2.htm
0,39,Green Card,BV,"$29,888,235",757,"$47,781",2,1990,/movies/?id=greencard.htm
0,40,Pacific Heights,Fox,"$29,381,956","1,291","$6,912,637","1,278",1990,/movies/?id=pacificheights.htm
0,41,Child's Play 2,Uni.,"$28,501,605","2,017","$10,718,520","1,996",1990,/movies/?id=childsplay2.htm
0,42,The Rescuers Down Under,BV,"$27,931,461","1,487","$3,499,819","1,230",1990,/movies/?id=rescuersdownunder.htm
0,43,Internal Affairs,Par.,"$27,734,391",986,"$5,043,516",975,1990,/movies/?id=internalaffairs.htm
0,44,Cadillac Man,Orion,"$27,627,310","1,878","$6,712,079","1,826",1990,/movies/?id=cadillacman.htm
0,45,Memphis Belle,WB,"$27,441,977","1,368","$5,026,846","1,087",1990,/movies/?id=memphisbelle.htm
0,46,House Party,NL,"$26,385,627",700,"$4,611,024",520,1990,/movies/?id=houseparty.htm
0,47,Jacob's Ladder,TriS,"$26,118,851","1,264","$7,500,760","1,052",1990,/movies/?id=jacobsladder.htm
0,48,The Exorcist III,Fox,"$26,098,824","1,414","$9,312,219","1,288",1990,/movies/?id=exorcist3.htm
0,49,Fantasia (Re-issue) (1990),BV,"$25,363,371",481,"$6,047,613",481,1990,/movies/?id=fantasia90.htm
0,50,Navy Seals,Orion,"$25,069,101","1,355","$6,543,832","1,341",1990,/movies/?id=navyseals.htm
0,51,Ernest Goes to Jail,BV,"$25,029,569","1,956","$6,143,372","1,943",1990,/movies/?id=ernestgoestojail.htm
0,52,Ghost Dad,Uni.,"$24,707,633","1,221","$4,803,480","1,213",1990,/movies/?id=ghostdad.htm
0,53,My Blue Heaven,WB,"$23,591,472","1,868","$6,207,092","1,859",1990,/movies/?id=myblueheaven.htm
0,54,The Russia House,MGM,"$22,997,992",768,"$4,435,650",717,1990,/movies/?id=russiahouse.htm
0,55,The First Power,Orion,"$22,424,195","1,336","$5,677,715","1,332",1990,/movies/?id=firstpower.htm
0,56,The Rookie (1990),WB,"$21,633,874","1,862","$5,510,056","1,862",1990,/movies/?id=rookie90.htm
0,57,The Freshman,TriS,"$21,460,601","1,044","$205,876",6,1990,/movies/?id=freshman.htm
0,58,The Adventures of Ford Fairlane,Fox,"$21,413,502","1,263","$6,374,391","1,245",1990,/movies/?id=adventuresoffordfairlane.htm
0,59,Quigley Down Under,MGM,"$21,413,105","1,094","$3,853,149",996,1990,/movies/?id=quigleydownunder.htm
0,60,Madhouse,Orion,"$21,036,771","1,555","$5,240,816","1,552",1990,/movies/?id=madhouse.htm
