Country,Dist.,Release,Opening,percent_of,Total_Gross,As_Of
North America,Disney,4/26/2018,257698183,32.90%,660323950,6/10/2018
Argentina,Disney,4/26/2018,5437240,33.40%,16288553,6/10/2018
Australia,Disney,4/26/2018,16101807,34.70%,46352246,6/10/2018
Austria,Disney,4/26/2018,1886847,33.90%,5561304,6/10/2018
Belgium,Disney,4/25/2018,1854939,33.90%,5479402,6/10/2018
Bolivia,WB,4/26/2018,913486,31.00%,2948957,5/27/2018
Brazil,Disney,4/26/2018,19062450,29.00%,65822418,6/10/2018
Bulgaria,Forum,4/27/2018,319492,32.30%,988042,6/10/2018
Chile,Disney,4/26/2018,4525397,31.50%,14370631,6/10/2018
China,Disney,5/11/2018,191034859,52.20%,366249504,6/10/2018
Colombia,Disney,4/26/2018,4682630,32.20%,14523051,6/10/2018
Croatia,2i Film,4/26/2018,281454,36.50%,771061,6/10/2018
Czech Republic,Falcon,4/26/2018,1674394,38.90%,4305197,6/10/2018
Denmark,Disney,4/25/2018,2950623,44.30%,6655238,6/10/2018
Finland,Disney,4/25/2018,1437118,45.10%,3188207,6/10/2018
France,Disney,4/25/2018,17645304,39.00%,45270964,6/10/2018
Germany,Disney,4/26/2018,15301422,35.30%,43399760,6/10/2018
Greece,Feelgood,4/26/2018,1046575,36.90%,2837253,6/10/2018
Hong Kong,Disney,4/25/2018,8043759,39.30%,20479492,6/10/2018
Hungary,Forum,4/26/2018,1228462,38.10%,3227236,6/10/2018
Iceland,Samfilm,4/27/2018,216702,31.10%,697010,6/10/2018
India,Disney,4/27/2018,18464603,42.40%,43594456,6/10/2018
Indonesia,Disney,4/25/2018,11414539,45.10%,25288929,6/10/2018
Italy,Disney,4/26/2018,7384164,33.60%,21966660,6/10/2018
Japan,Disney,4/27/2018,9075979,27.00%,33572499,6/10/2018
Lithuania,-,4/27/2018,160693,39.40%,408237,6/10/2018
Malaysia,Disney,4/25/2018,8387335,48.50%,17301836,6/10/2018
Mexico,Disney,4/27/2018,25382566,42.40%,59865090,6/10/2018
Netherlands,Disney,4/25/2018,3830456,35.50%,10793866,6/10/2018
New Zealand,Disney,4/26/2018,2748779,38.30%,7178704,6/10/2018
Norway,Disney,4/27/2018,1620456,29.60%,5482595,6/10/2018
Paraguay,Filmagic,4/26/2018,433387,40.20%,1078729,5/27/2018
Philippines,Disney,4/25/2018,12500128,53.70%,23292202,6/10/2018
Poland,Disney,4/26/2018,2563813,35.70%,7183265,6/10/2018
Portugal,-,4/26/2018,1175436,41.60%,2822573,6/10/2018
Romania,Forum,4/27/2018,822798,33.50%,2457434,6/10/2018
Russia - CIS,Disney,5/3/2018,18193251,52.90%,34401293,6/10/2018
Serbia & Montenegro,Taramount,5/3/2018,247112,88.20%,280036,5/9/2018
Singapore,Disney,4/25/2018,4679612,38.60%,12133512,6/10/2018
Slovakia,Saturn,4/26/2018,605120,45.40%,1333385,6/10/2018
Slovenia,2i Film,4/26/2018,109785,33.40%,328866,6/10/2018
South Africa,SterKine,4/27/2018,2050302,38.10%,5378592,6/10/2018
South Korea,Disney,4/25/2018,39173384,42.20%,92856237,6/10/2018
Spain,Disney,4/27/2018,8637415,35.30%,24490980,6/10/2018
Sweden,Disney,4/25/2018,3749830,49.10%,7634007,6/10/2018
Switzerland,Disney,4/25/2018,2083416,38.10%,5463544,6/10/2018
Taiwan,Disney,4/25/2018,9803289,45.60%,21497834,6/10/2018
Thailand,Disney,4/25/2018,9941722,55.40%,17944798,6/10/2018
Turkey,UIP,4/27/2018,2566580,42.40%,6046778,6/10/2018
Ukraine,Disney,4/26/2018,1372912,35.10%,3914908,6/10/2018
United Arab Emirates,Disney,4/26/2018,-,-,9872958,6/3/2018
United Kingdom,Disney,4/26/2018,41447361,43.60%,94995922,6/10/2018
Uruguay,Disney,4/26/2018,307882,39.90%,772075,5/27/2018
Venezuela,Disney,4/27/2018,1787030,48.90%,3652028,6/10/2018
