Country,Dist.,Release,Opening,percent_of,Total_Gross,As_Of
North America,Disney,4/26/2012,207438708,41.00%,623357910,6/10/2018
Argentina,Disney,4/26/2012,3577647,20.60%,17331732,7/29/2012
Australia,Disney,4/25/2012,13923182,25.60%,54385465,7/8/2012
Austria,UPI,4/26/2012,679419,21.40%,3175739,7/22/2012
Belgium,Disney,4/25/2012,1271359,31.30%,4061231,9/2/2012
Bolivia,Disney,4/26/2012,428749,22.70%,1885220,7/1/2012
Brazil,Disney,4/27/2012,10814407,16.90%,63904807,11/4/2012
Bulgaria,UIP,5/1/2012,232228,31.20%,743965,7/8/2012
Chile,Disney,4/26/2012,1733780,18.70%,9247146,7/15/2012
China,0,5/4/2012,0,0,86300000,6/10/2012
Colombia,Disney,4/27/2012,2314014,32.40%,7140604,5/13/2018
Croatia,Disney,5/3/2012,138406,35.70%,387357,7/8/2012
Czech Republic,Falcon,5/3/2012,494363,28.40%,1740748,7/15/2012
Denmark,Disney,4/26/2012,1658686,32.60%,5081339,7/15/2012
East Africa,Disney,4/27/2012,65331,20.20%,323763,8/26/2012
Ecuador,Disney,4/27/2012,1294001,23.90%,5410298,7/1/2012
Egypt,Disney,5/2/2012,153968,16.90%,913497,8/26/2012
Finland,Disney,4/27/2012,431815,29.30%,1476038,7/15/2012
France,Disney,4/25/2012,19035088,50.40%,37765919,6/17/2012
Germany,Disney,4/26/2012,8444708,27.40%,30828359,7/29/2012
Ghana,Disney,5/4/2012,20549,100.00%,20549,5/6/2012
Greece,Disney,4/26/2012,868941,33.40%,2599996,6/3/2012
Hong Kong,Disney,4/26/2012,4351700,34.90%,12468825,8/26/2012
Hungary,Forum,4/26/2012,496999,28.20%,1759397,6/17/2012
Iceland,UIP,4/27/2012,139222,27.70%,502028,7/8/2012
India,Disney,4/27/2012,0,0,12616061,6/3/2012
Indonesia,Disney,5/4/2012,2914124,24.40%,11949911,7/29/2012
Israel,Forum,5/10/2012,750051,30.60%,2449957,7/1/2012
Italy,Disney,4/25/2012,6372395,28.90%,22012517,8/19/2012
Japan,Disney,8/17/2012,6386185,14.10%,45256010,9/30/2012
Lebanon,Disney,5/3/2012,143179,26.80%,534555,7/8/2012
Lithuania,0,7/4/1905,0,0,0,0
Malaysia,Disney,4/27/2012,3302692,30.10%,10965615,8/5/2012
Mexico,Disney,4/27/2012,17439946,28.20%,61748523,8/12/2012
Netherlands,Disney,4/25/2012,1492640,22.60%,6609804,7/1/2012
New Zealand,Disney,4/25/2012,1677054,23.50%,7140832,7/29/2012
Nigeria,0,5/4/2012,95843,47.40%,202368,5/13/2012
Norway,Disney,4/27/2012,1525494,27.10%,5636566,8/5/2012
Peru,Disney,4/26/2012,2230676,26.20%,8523744,7/22/2012
Philippines,Disney,4/25/2012,6580876,45.80%,14382992,7/1/2012
Poland,Forum,5/11/2012,957409,30.20%,3165105,7/29/2012
Portugal,Lusomundo,4/25/2012,622909,25.00%,2489524,7/1/2012
Romania,RI 2000,4/26/2012,0,0,0,0
Russia 0 CIS,Disney,5/3/2012,14954518,34.20%,43677418,10/7/2012
Serbia & Montenegro,UIP,5/3/2012,33083,19.80%,167189,7/15/2012
Singapore,Disney,5/1/2012,3441766,30.80%,11172253,10/28/2012
Slovakia,Saturn,5/3/2012,0,0,448435,6/17/2012
Slovenia,Disney,5/3/2012,40765,24.90%,163737,7/1/2012
South Africa,SterKine,4/26/2012,1306598,28.30%,4609462,7/15/2012
South Korea,Disney,4/26/2012,10792833,21.30%,50683851,6/10/2012
Spain,Disney,4/27/2012,7065265,34.90%,20220212,9/9/2012
Sweden,Disney,4/27/2012,2288528,30.10%,7595353,7/29/2012
Taiwan,0,4/25/2012,0,0,20100000,6/3/2012
Thailand,Disney,5/1/2012,2537093,32.00%,7935363,6/24/2012
Turkey,UIP,5/4/2012,1189452,27.90%,4257979,8/26/2012
Ukraine,Disney,5/3/2012,865481,39.20%,2210225,3/2/2014
United Arab Emirates,Disney,5/3/2012,2671492,39.90%,6689950,8/19/2012
United Kingdom,Disney,4/26/2012,25670014,31.90%,80563081,8/12/2012
Uruguay,Disney,4/27/2012,119780,23.10%,517473,7/8/2012
Venezuela,Disney,4/27/2012,1585295,12.00%,13216039,8/26/2012
