Country,Dist.,Release,Opening,percent_of,Total_Gross,As_Of
North America,Disney,4/23/2015,191271109,32.70%,459005868,6/21/2015
Argentina,Disney,4/23/2015,4219198,45.50%,9280502,6/21/2015
Australia,Disney,4/23/2015,12296515,39.70%,30969152,6/14/2015
Austria,Disney,4/23/2015,928359,22.70%,4086924,6/28/2015
Bahrain,-,4/30/2015,319153,56.70%,562690,5/17/2015
Belgium,Disney,4/22/2015,964862,29.10%,3313943,7/19/2015
Bolivia,Disney,4/30/2015,837003,36.70%,2278266,6/28/2015
Brazil,Disney,4/23/2015,12621463,26.40%,47862465,10/18/2015
Bulgaria,Disney,4/24/2015,194722,30.20%,645121,5/31/2015
Chile,Disney,4/30/2015,2490893,35.90%,6942365,6/21/2015
China,-,5/11/2015,155750000,64.90%,240110000,6/14/2015
Colombia,Disney,4/30/2015,3824585,38.40%,9955023,6/14/2015
Croatia,Disney,4/30/2015,153418,44.00%,348389,6/14/2015
Czech Republic,Falcon,4/30/2015,838946,41.70%,2011520,6/14/2015
Denmark,Disney,4/23/2015,1462982,32.00%,4578163,8/2/2015
Ecuador,Disney,4/30/2015,2076390,37.10%,5590716,6/21/2015
Egypt,Disney,4/29/2015,299960,24.60%,1218558,7/19/2015
Estonia,Disney,5/1/2015,118599,45.40%,261445,5/31/2015
Finland,Disney,4/22/2015,424849,31.70%,1338700,5/10/2015
France,Disney,4/22/2015,12467255,36.40%,34270887,6/7/2015
Germany,Disney,4/23/2015,9360948,30.00%,31193932,7/12/2015
Greece,Disney,4/30/2015,772676,43.50%,1776109,5/31/2015
Hong Kong,Disney,4/23/2015,6391455,37.30%,17155906,6/28/2015
Hungary,Forum,5/7/2015,807040,40.70%,1980532,6/21/2015
Iceland,Disney,4/23/2015,99400,26.70%,371887,6/21/2015
India,Disney,4/24/2015,7668237,45.90%,16695001,5/24/2015
Israel,Disney,4/23/2015,762651,37.70%,2021296,6/7/2015
Italy,-,4/23/2015,7751190,42.80%,18120047,5/31/2015
Japan,Disney,7/4/2015,6450874,24.50%,26373434,8/23/2015
Jordan,-,4/30/2015,134455,37.20%,361851,7/19/2015
Kenya,Disney,4/30/2015,156523,49.30%,317574,6/7/2015
Latvia,-,5/1/2015,77549,39.70%,195571,6/21/2015
Lebanon,Disney,4/30/2015,269622,49.70%,542714,7/5/2015
Lithuania,-,5/1/2015,69951,39.70%,176271,10/18/2015
Malaysia,Disney,4/23/2015,4996525,37.30%,13390227,8/2/2015
Mexico,Disney,4/30/2015,18689287,36.70%,50940433,6/28/2015
Netherlands,Disney,4/23/2015,1413055,25.90%,5465221,6/7/2015
New Zealand,Disney,4/23/2015,2044709,42.50%,4809004,6/14/2015
Nigeria,-,5/1/2015,203814,74.60%,273301,7/5/2015
Norway,Disney,4/22/2015,1065873,22.30%,4770579,6/14/2015
Oman,-,4/30/2015,286417,79.70%,359221,5/24/2015
Peru,Disney,4/30/2015,3277630,46.70%,7025935,6/28/2015
Philippines,Disney,4/22/2015,7365190,52.20%,14097441,6/7/2015
Poland,Disney,5/7/2015,1379910,34.80%,3967269,6/28/2015
Portugal,Disney,4/29/2015,697966,37.90%,1841706,6/14/2015
Romania,Disney,4/24/2015,382531,33.60%,1137226,5/17/2015
Russia - CIS,Dis./Sony,4/23/2015,16042816,46.70%,34319424,5/31/2015
Serbia & Montenegro,Taramount,4/30/2015,48605,25.50%,190746,7/12/2015
Singapore,Disney,4/23/2015,3561440,36.00%,9904467,9/20/2015
Slovakia,-,4/30/2015,288328,49.00%,588510,6/14/2015
Slovenia,-,5/1/2015,49325,40.30%,122335,5/31/2015
South Africa,SterKine,4/24/2015,1020613,31.10%,3276734,6/21/2015
South Korea,-,4/23/2015,23060916,29.50%,78286828,5/31/2015
Spain,Disney,4/30/2015,4866691,35.70%,13640131,8/2/2015
Sweden,Disney,4/22/2015,1617783,30.90%,5240559,7/5/2015
Switzerland (French-speaking),Disney,4/22/2015,495350,37.90%,1307885,6/7/2015
Switzerland (German-speaking),Disney,4/23/2015,916665,33.70%,2717245,6/7/2015
Taiwan,Disney,4/22/2015,5345228,29.00%,18417745,6/21/2015
Thailand,Disney,4/30/2015,4186088,47.30%,8850822,6/14/2015
Turkey,UIP,5/1/2015,2205205,37.60%,5864977,7/12/2015
Ukraine,Disney,4/23/2015,734187,38.40%,1909793,10/4/2015
United Arab Emirates,Disney,4/30/2015,3166819,100.00%,3166819,5/3/2015
United Kingdom,Disney,4/24/2015,27368366,35.70%,76623201,6/21/2015
Uruguay,Disney,4/30/2015,150299,32.80%,458022,6/28/2015
Venezuela,Disney,5/1/2015,3675546,19.80%,18531156,10/18/2015
Vietnam,CJ Ent.,4/24/2015,1514617,28.80%,5259089,6/7/2015
