Year,Studio,Total_Gross,Total_Yearly_Gross,a.Total_Gross/b.Total_Yearly_Gross
1990,BV,683431384,4201762579,0.1627
1990,Col.,271771523,4201762579,0.0647
1990,Fox,668375058,4201762579,0.1591
1990,Gold.,14560247,4201762579,0.0035
1990,MGM,61264584,4201762579,0.0146
1990,Mira.,25437170,4201762579,0.0061
1990,NL,173193300,4201762579,0.0412
1990,Orion,361466795,4201762579,0.0860
1990,Par.,648684055,4201762579,0.1544
1990,Sony,119394840,4201762579,0.0284
1990,TriS,164690048,4201762579,0.0392
1990,Triu,55675288,4201762579,0.0133
1990,UA,40946358,4201762579,0.0097
1990,Uni.,501300428,4201762579,0.1193
1990,WB,411571501,4201762579,0.0980
1991,BV,639516948,4013340886,0.1593
1991,Col.,373854819,4013340886,0.0932
1991,Fox,371086735,4013340886,0.0925
1991,Istr,15556340,4013340886,0.0039
1991,MGM,71661059,4013340886,0.0179
1991,Mira.,25451439,4013340886,0.0063
1991,NL,146845818,4013340886,0.0366
1991,Orion,214873496,4013340886,0.0535
1991,Par.,514002708,4013340886,0.1281
1991,TriS,511078671,4013340886,0.1273
1991,Uni.,526778618,4013340886,0.1313
1991,WB,602634235,4013340886,0.1502
1992,BV,853296658,4338501242,0.1967
1992,Col.,463363430,4338501242,0.1068
1992,Fox,653671054,4338501242,0.1507
1992,Gold.,11657385,4338501242,0.0027
1992,MGM,33775364,4338501242,0.0078
1992,Mira.,88284078,4338501242,0.0203
1992,NL,81171944,4338501242,0.0187
1992,Par.,410289272,4338501242,0.0946
1992,SPC,25966555,4338501242,0.0060
1992,Sony,107533928,4338501242,0.0248
1992,TriS,237212989,4338501242,0.0547
1992,Uni.,483123184,4338501242,0.1114
1992,WB,889155401,4338501242,0.2049
1993,BV,724064873,4493750447,0.1611
1993,Col.,460575760,4493750447,0.1025
1993,Fox,546449157,4493750447,0.1216
1993,Gold.,22549338,4493750447,0.0050
1993,Gram.,18289763,4493750447,0.0041
1993,MGM,67758641,4493750447,0.0151
1993,Mira.,73561346,4493750447,0.0164
1993,NL,127074784,4493750447,0.0283
1993,Par.,439539543,4493750447,0.0978
1993,Sav.,43130275,4493750447,0.0096
1993,TriS,354248925,4493750447,0.0788
1993,Triu,17180393,4493750447,0.0038
1993,Uni.,715285071,4493750447,0.1592
1993,WB,884042578,4493750447,0.1967
1994,BV,898300130,4609740780,0.1949
1994,Col.,166593805,4609740780,0.0361
1994,Fox,382498552,4609740780,0.0830
1994,Gold.,15238689,4609740780,0.0033
1994,Gram.,73552353,4609740780,0.0160
1994,MGM,141260817,4609740780,0.0306
1994,Mira.,193016956,4609740780,0.0419
1994,NL,373614884,4609740780,0.0810
1994,Par.,795294472,4609740780,0.1725
1994,Sav.,32160303,4609740780,0.0070
1994,Sony,158230033,4609740780,0.0343
1994,TriS,111671442,4609740780,0.0242
1994,Uni.,516467514,4609740780,0.1120
1994,WB,751840830,4609740780,0.1631
1995,BV,1054502589,4793838006,0.2200
1995,Dim.,31232512,4793838006,0.0065
1995,Fox,378784037,4793838006,0.0790
1995,Gram.,76645586,4793838006,0.0160
1995,MGM,322583259,4793838006,0.0673
1995,Mira.,36968571,4793838006,0.0077
1995,NL,247310085,4793838006,0.0516
1995,Par.,443166444,4793838006,0.0924
1995,SPC,31070275,4793838006,0.0065
1995,Sav.,23389975,4793838006,0.0049
1995,Sony,606692033,4793838006,0.1266
