,Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link,Actors
0,1,Home Alone,Fox,"$285,761,243","2,173","$17,081,997","1,202",1990,/movies/?id=homealone.htm,Macaulay Culkin
1,2,Ghost,Par.,"$217,631,306","1,766","$12,191,540","1,101",1990,/movies/?id=ghost.htm,Patrick SwayzeDemi MooreWhoopi Goldberg
2,3,Dances with Wolves,Orion,"$184,208,848","1,636","$598,257",14,1990,/movies/?id=danceswithwolves.htm,Kevin Costner
3,4,Pretty Woman,BV,"$178,406,268","1,811","$11,280,591","1,325",1990,/movies/?id=prettywoman.htm,Richard GereJulia Roberts
4,5,Teenage Mutant Ninja Turtles,NL,"$135,265,915","2,377","$25,398,367","2,006",1990,/movies/?id=teenagemutantninjaturtles.htm,Sam Rockwell*
5,1,Terminator 2: Judgment Day,TriS,"$204,843,345","2,495","$31,765,506","2,274",1991,/movies/?id=terminator2.htm,Arnold SchwarzeneggerEdward FurlongLinda HamiltonRobert Patrick
6,2,Robin Hood: Prince of Thieves,WB,"$165,493,908","2,369","$25,625,602","2,369",1991,/movies/?id=robinhoodprinceofthieves.htm,Kevin CostnerMorgan FreemanAlan Rickman
7,3,Beauty and the Beast,BV,"$145,863,363","1,960","$162,146",2,1991,/movies/?id=beautyandthebeast.htm,ERROR FOR: Beauty and the Beast
8,4,The Silence of the Lambs,Orion,"$130,742,922","1,642","$13,766,814","1,497",1991,/movies/?id=silenceofthelambs.htm,Jodie FosterAnthony Hopkins
9,5,City Slickers,Col.,"$124,033,791","2,171","$13,032,121","1,992",1991,/movies/?id=cityslickers.htm,Billy CrystalJake Gyllenhaal*
10,1,Aladdin,BV,"$217,350,219","2,331","$196,664",2,1992,/movies/?id=aladdin.htm,Robin Williams (Voice)
11,2,Home Alone 2: Lost in New York,Fox,"$173,585,516","2,461","$31,126,882","2,222",1992,/movies/?id=homealone2.htm,Macaulay CulkinJoe PesciCatherine O'HaraRob Schneider*
12,3,Batman Returns,WB,"$162,831,698","2,644","$45,687,711","2,644",1992,/movies/?id=batmanreturns.htm,Michael KeatonDanny DeVitoMichelle PfeifferChristopher Walken
13,4,Lethal Weapon 3,WB,"$144,731,527","2,568","$33,243,086","2,510",1992,/movies/?id=lethalweapon3.htm,Mel GibsonDanny GloverRene Russo
14,5,A Few Good Men,Col.,"$141,340,178","2,201","$15,517,468","1,925",1992,/movies/?id=fewgoodmen.htm,"Tom CruiseJack NicholsonDemi MooreKevin BaconKiefer SutherlandKevin PollakJ.T. WalshCuba Gooding, Jr.*"
15,1,Jurassic Park,Uni.,"$357,067,947","2,566","$47,026,828","2,404",1993,/movies/?id=jurassicpark.htm,Sam NeillJeff GoldblumLaura DernRichard AttenboroughSamuel L. Jackson*
16,2,Mrs. Doubtfire,Fox,"$219,195,243","2,354","$20,468,847","1,605",1993,/movies/?id=mrsdoubtfire.htm,Robin WilliamsSally FieldPierce Brosnan
17,3,The Fugitive,WB,"$183,875,760","2,425","$23,758,855","2,340",1993,/movies/?id=fugitive.htm,Harrison FordTommy Lee JonesJulianne Moore*
18,4,The Firm,Par.,"$158,348,367","2,393","$25,400,000","2,393",1993,/movies/?id=firm.htm,Tom CruiseJeanne TripplehornGene HackmanHal HolbrookWilford BrimleyEd HarrisHolly HunterDavid StrathairnGary BuseyTobin Bell*
19,5,Sleepless in Seattle,TriS,"$126,680,884","1,657","$17,253,733","1,579",1993,/movies/?id=sleeplessinseattle.htm,Tom HanksMeg Ryan
20,1,Forrest Gump,Par.,"$329,694,499","2,365","$24,450,602","1,595",1994,/movies/?id=forrestgump.htm,Tom HanksRobin WrightSally FieldGary Sinise
21,2,The Lion King,BV,"$312,855,561","2,624","$1,586,753",2,1994,/movies/?id=lionking.htm,Matthew Broderick (Voice)Jonathan Taylor ThomasJames Earl Jones (Voice)Jeremy Irons (Voice)Moira KellyNathan LaneRowan AtkinsonWhoopi GoldbergCheech Marin
22,3,True Lies,Fox,"$146,282,411","2,561","$25,869,770","2,368",1994,/movies/?id=truelies.htm,Arnold SchwarzeneggerTom ArnoldJamie Lee Curtis
23,4,The Santa Clause,BV,"$144,833,357","2,388","$19,321,992","2,183",1994,/movies/?id=santaclause.htm,Tim Allen
